dataset,model,seed,test_hr,test_ndcg,test_auc,val_hr,val_ndcg,val_auc,epochs,val_epoch
support_groups_full_164,mf_baseline,mean,0.045700,0.029000,0.519300,0.042400,0.025600,0.477400,20.000000,3.200000
support_groups_full_164,mf_pl,mean,0.025700,0.021500,0.491900,0.039400,0.022600,0.492000,20.000000,1.200000
support_groups_full_164,mlp_baseline,mean,0.005700,0.002300,0.281800,0.018200,0.010000,0.307500,20.000000,8.800000
support_groups_full_164,mlp_pl,mean,0.014300,0.007200,0.301600,0.012100,0.005200,0.329500,20.000000,8.600000
support_groups_full_164,neumf_baseline,mean,0.034300,0.024300,0.458300,0.048500,0.032100,0.468300,20.000000,1.000000
support_groups_full_164,neumf_pl,mean,0.062900,0.039000,0.519100,0.057600,0.030600,0.517000,20.000000,2.000000
support_groups_full_164_loo,mf_baseline,mean,0.045800,0.027000,0.502400,0.055400,0.028600,0.496200,20.000000,4.600000
support_groups_full_164_loo,mf_pl,mean,0.054200,0.033200,0.476600,0.050600,0.027900,0.501700,20.000000,2.400000
support_groups_full_164_loo,mlp_baseline,mean,0.026500,0.014100,0.461800,0.022900,0.014100,0.432800,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,mean,0.053000,0.029700,0.484300,0.047000,0.027500,0.477400,20.000000,1.400000
support_groups_full_164_loo,neumf_baseline,mean,0.044600,0.025000,0.454700,0.036100,0.025300,0.479400,20.000000,1.200000
support_groups_full_164_loo,neumf_pl,mean,0.051800,0.030200,0.497700,0.055400,0.032900,0.506000,20.000000,1.000000
