dataset,model,seed,test_hr,test_ndcg,test_auc,val_hr,val_ndcg,val_auc,epochs,val_epoch
support_groups_full_164,mf_baseline,median,0.057100,0.023400,0.509400,0.045500,0.028600,0.479600,20.000000,3.000000
support_groups_full_164,mf_pl,median,0.028600,0.023300,0.496700,0.030300,0.024700,0.482700,20.000000,1.000000
support_groups_full_164,mlp_baseline,median,0.000000,0.000000,0.360900,0.015200,0.005900,0.363000,20.000000,2.000000
support_groups_full_164,mlp_pl,median,0.014300,0.005500,0.354100,0.015200,0.005900,0.424200,20.000000,1.000000
support_groups_full_164,neumf_baseline,median,0.028600,0.027000,0.467200,0.045500,0.028600,0.459600,20.000000,1.000000
support_groups_full_164,neumf_pl,median,0.057100,0.037600,0.507300,0.045500,0.019300,0.501700,20.000000,1.000000
support_groups_full_164_loo,mf_baseline,median,0.048200,0.026800,0.503300,0.054200,0.030500,0.508900,20.000000,5.000000
support_groups_full_164_loo,mf_pl,median,0.066300,0.039600,0.482700,0.048200,0.022700,0.496200,20.000000,2.000000
support_groups_full_164_loo,mlp_baseline,median,0.036100,0.018600,0.463800,0.018100,0.013600,0.433200,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,median,0.060200,0.030600,0.491900,0.048200,0.028100,0.487100,20.000000,1.000000
support_groups_full_164_loo,neumf_baseline,median,0.048200,0.025400,0.459200,0.042200,0.028100,0.491800,20.000000,1.000000
support_groups_full_164_loo,neumf_pl,median,0.054200,0.032800,0.504700,0.054200,0.031200,0.503000,20.000000,1.000000
