dataset,model,seed,entity,repr,cosine_k3,euclidean_k3,cosine_k4,euclidean_k4,cosine_k5,euclidean_k5,cosine_k6,euclidean_k6,cosine_k7,euclidean_k7,cosine_k8,euclidean_k8,cosine_k10,euclidean_k10
support_groups_full_164,mf_baseline,42,item,main,0.0299,0.0150,0.0297,0.0149,0.0309,0.0143,0.0292,0.0136,0.0310,0.0148,0.0302,0.0149,0.0290,0.0129
support_groups_full_164,mf_baseline,52,item,main,0.0312,0.0157,0.0286,0.0139,0.0305,0.0145,0.0292,0.0137,0.0290,0.0110,0.0300,0.0151,0.0293,0.0129
support_groups_full_164,mf_baseline,62,item,main,0.0302,0.0145,0.0300,0.0140,0.0293,0.0129,0.0301,0.0143,0.0316,0.0143,0.0311,0.0144,0.0292,0.0134
support_groups_full_164,mf_baseline,122,item,main,0.0344,0.0172,0.0355,0.0169,0.0336,0.0160,0.0328,0.0164,0.0346,0.0143,0.0355,0.0172,0.0369,0.0161
support_groups_full_164,mf_baseline,232,item,main,0.0311,0.0156,0.0306,0.0150,0.0299,0.0152,0.0307,0.0153,0.0320,0.0154,0.0306,0.0135,0.0302,0.0143
support_groups_full_164,mf_pl,42,item,main,0.0217,0.0103,0.0207,0.0099,0.0211,0.0100,0.0194,0.0093,0.0203,0.0082,0.0207,0.0084,0.0210,0.0094
support_groups_full_164,mf_pl,52,item,main,0.0241,0.0123,0.0215,0.0104,0.0218,0.0110,0.0214,0.0101,0.0206,0.0095,0.0210,0.0101,0.0207,0.0098
support_groups_full_164,mf_pl,62,item,main,0.0209,0.0102,0.0215,0.0104,0.0203,0.0096,0.0195,0.0088,0.0194,0.0085,0.0203,0.0093,0.0198,0.0068
support_groups_full_164,mf_pl,122,item,main,0.0221,0.0108,0.0214,0.0105,0.0208,0.0084,0.0205,0.0098,0.0201,0.0094,0.0196,0.0083,0.0199,0.0089
support_groups_full_164,mf_pl,232,item,main,0.0221,0.0107,0.0213,0.0106,0.0232,0.0109,0.0211,0.0100,0.0215,0.0093,0.0221,0.0104,0.0198,0.0090
support_groups_full_164,mlp_baseline,42,item,main,0.0581,0.0288,0.0542,0.0276,0.0562,0.0278,0.0544,0.0262,0.0555,0.0276,0.0578,0.0283,0.0573,0.0286
support_groups_full_164,mlp_baseline,52,item,main,0.0683,0.0342,0.0593,0.0292,0.0637,0.0311,0.0578,0.0278,0.0587,0.0276,0.0585,0.0291,0.0577,0.0277
support_groups_full_164,mlp_baseline,62,item,main,0.5149,0.2595,0.3680,0.1968,0.3673,0.1910,0.3442,0.1802,0.2935,0.1674,0.2871,0.1614,0.2391,0.1510
support_groups_full_164,mlp_baseline,122,item,main,0.0561,0.0286,0.0550,0.0281,0.0521,0.0259,0.0545,0.0258,0.0542,0.0266,0.0546,0.0267,0.0572,0.0254
support_groups_full_164,mlp_baseline,232,item,main,0.5688,0.2948,0.4568,0.2295,0.3042,0.1863,0.3473,0.1979,0.3408,0.1809,0.3197,0.1705,0.2508,0.1565
support_groups_full_164,mlp_pl,42,item,main,0.3815,0.1819,0.2498,0.1409,0.2456,0.1351,0.2455,0.1367,0.2323,0.1276,0.2378,0.1242,0.0214,0.0292
support_groups_full_164,mlp_pl,52,item,main,0.0545,0.0273,0.0534,0.0267,0.0540,0.0271,0.0564,0.0281,0.0527,0.0253,0.0552,0.0272,0.0546,0.0270
support_groups_full_164,mlp_pl,62,item,main,0.0534,0.0267,0.0539,0.0274,0.0536,0.0255,0.0545,0.0241,0.0574,0.0276,0.0582,0.0265,0.0628,0.0280
support_groups_full_164,mlp_pl,122,item,main,0.0558,0.0290,0.0544,0.0272,0.0547,0.0275,0.0552,0.0269,0.0549,0.0264,0.0560,0.0274,0.0555,0.0275
support_groups_full_164,mlp_pl,232,item,main,0.3346,0.1671,0.2992,0.1519,0.2282,0.1378,0.2524,0.1418,0.2332,0.1340,0.0232,0.0228,0.0207,0.0246
support_groups_full_164,neumf_baseline,42,item,main,0.0228,0.0112,0.0214,0.0104,0.0212,0.0100,0.0206,0.0095,0.0202,0.0088,0.0211,0.0094,0.0195,0.0090
support_groups_full_164,neumf_baseline,52,item,main,0.0226,0.0113,0.0209,0.0103,0.0199,0.0087,0.0209,0.0096,0.0195,0.0083,0.0202,0.0094,0.0192,0.0085
support_groups_full_164,neumf_baseline,62,item,main,0.0224,0.0113,0.0203,0.0088,0.0210,0.0099,0.0207,0.0100,0.0204,0.0096,0.0212,0.0095,0.0213,0.0096
support_groups_full_164,neumf_baseline,122,item,main,0.0214,0.0105,0.0208,0.0100,0.0213,0.0099,0.0204,0.0099,0.0202,0.0093,0.0206,0.0082,0.0202,0.0099
support_groups_full_164,neumf_baseline,232,item,main,0.0221,0.0111,0.0219,0.0105,0.0213,0.0101,0.0218,0.0106,0.0210,0.0090,0.0209,0.0097,0.0179,0.0072
support_groups_full_164,neumf_pl,42,item,main,0.0216,0.0108,0.0210,0.0092,0.0214,0.0096,0.0191,0.0076,0.0204,0.0099,0.0198,0.0081,0.0199,0.0084
support_groups_full_164,neumf_pl,52,item,main,0.0217,0.0107,0.0212,0.0104,0.0214,0.0106,0.0204,0.0091,0.0198,0.0085,0.0210,0.0096,0.0204,0.0099
support_groups_full_164,neumf_pl,62,item,main,0.0318,0.0160,0.0264,0.0122,0.0255,0.0122,0.0248,0.0125,0.0227,0.0106,0.0224,0.0106,0.0215,0.0096
support_groups_full_164,neumf_pl,122,item,main,0.0219,0.0108,0.0221,0.0110,0.0218,0.0097,0.0191,0.0094,0.0204,0.0102,0.0191,0.0085,0.0197,0.0090
support_groups_full_164,neumf_pl,232,item,main,0.0222,0.0112,0.0202,0.0101,0.0201,0.0100,0.0207,0.0095,0.0209,0.0089,0.0201,0.0093,0.0209,0.0095
support_groups_full_164,mf_baseline,mean,item,main,0.0314,0.0156,0.0309,0.0150,0.0308,0.0145,0.0304,0.0147,0.0317,0.0140,0.0315,0.0150,0.0309,0.0139
support_groups_full_164,mf_baseline,std,item,main,0.0018,0.0010,0.0027,0.0012,0.0017,0.0011,0.0015,0.0012,0.0020,0.0017,0.0023,0.0014,0.0034,0.0013
support_groups_full_164,mf_pl,mean,item,main,0.0222,0.0109,0.0213,0.0104,0.0214,0.0100,0.0204,0.0096,0.0204,0.0090,0.0207,0.0093,0.0202,0.0088
support_groups_full_164,mf_pl,std,item,main,0.0012,0.0009,0.0003,0.0002,0.0011,0.0010,0.0009,0.0006,0.0008,0.0006,0.0009,0.0010,0.0006,0.0011
support_groups_full_164,mlp_baseline,mean,item,main,0.2532,0.1292,0.1987,0.1022,0.1687,0.0924,0.1717,0.0916,0.1605,0.0860,0.1556,0.0832,0.1324,0.0779
support_groups_full_164,mlp_baseline,std,item,main,0.2642,0.1357,0.1976,0.1019,0.1542,0.0879,0.1590,0.0892,0.1440,0.0806,0.1355,0.0756,0.1028,0.0693
support_groups_full_164,mlp_pl,mean,item,main,0.1760,0.0864,0.1421,0.0748,0.1272,0.0706,0.1328,0.0715,0.1261,0.0682,0.0861,0.0456,0.0430,0.0273
support_groups_full_164,mlp_pl,std,item,main,0.1671,0.0806,0.1221,0.0654,0.1003,0.0601,0.1060,0.0619,0.0974,0.0572,0.0860,0.0440,0.0203,0.0017
support_groups_full_164,neumf_baseline,mean,item,main,0.0222,0.0111,0.0210,0.0100,0.0209,0.0097,0.0209,0.0099,0.0203,0.0090,0.0208,0.0092,0.0196,0.0089
support_groups_full_164,neumf_baseline,std,item,main,0.0006,0.0003,0.0006,0.0007,0.0006,0.0006,0.0006,0.0004,0.0005,0.0005,0.0004,0.0006,0.0013,0.0011
support_groups_full_164,neumf_pl,mean,item,main,0.0238,0.0119,0.0222,0.0106,0.0220,0.0104,0.0208,0.0096,0.0209,0.0096,0.0205,0.0093,0.0205,0.0093
support_groups_full_164,neumf_pl,std,item,main,0.0045,0.0023,0.0024,0.0011,0.0020,0.0010,0.0023,0.0018,0.0011,0.0009,0.0013,0.0010,0.0008,0.0006
