dataset,model,seed,entity,repr,cosine_k3,euclidean_k3,cosine_k4,euclidean_k4,cosine_k5,euclidean_k5,cosine_k6,euclidean_k6,cosine_k7,euclidean_k7,cosine_k8,euclidean_k8,cosine_k10,euclidean_k10
support_groups_full_164,mf_pl,42,user,pl,0.0624,0.0319,0.0628,0.0327,0.0623,0.0317,0.0624,0.0280,0.0611,0.0303,0.0597,0.0280,0.0555,0.0262
support_groups_full_164,mf_pl,52,user,pl,0.0687,0.0352,0.0669,0.0349,0.0648,0.0323,0.0686,0.0352,0.0669,0.0323,0.0634,0.0316,0.0616,0.0302
support_groups_full_164,mf_pl,62,user,pl,0.0601,0.0316,0.0612,0.0309,0.0633,0.0307,0.0634,0.0321,0.0644,0.0297,0.0628,0.0319,0.0575,0.0292
support_groups_full_164,mf_pl,122,user,pl,0.0635,0.0315,0.0623,0.0319,0.0615,0.0316,0.0589,0.0296,0.0601,0.0277,0.0579,0.0282,0.0520,0.0248
support_groups_full_164,mf_pl,232,user,pl,0.0679,0.0349,0.0759,0.0392,0.0672,0.0341,0.0675,0.0344,0.0632,0.0324,0.0667,0.0343,0.0631,0.0303
support_groups_full_164,mlp_pl,42,user,pl,0.0689,0.0336,0.0644,0.0324,0.0663,0.0323,0.0636,0.0309,0.0645,0.0316,0.0641,0.0307,0.0644,0.0318
support_groups_full_164,mlp_pl,52,user,pl,0.0643,0.0325,0.0666,0.0335,0.0724,0.0356,0.0682,0.0329,0.0624,0.0304,0.0677,0.0322,0.0669,0.0334
support_groups_full_164,mlp_pl,62,user,pl,0.0685,0.0345,0.0668,0.0334,0.0661,0.0339,0.0680,0.0330,0.0688,0.0343,0.0681,0.0283,0.0661,0.0312
support_groups_full_164,mlp_pl,122,user,pl,0.0726,0.0370,0.0628,0.0277,0.0627,0.0281,0.0631,0.0287,0.0634,0.0308,0.0604,0.0286,0.0637,0.0305
support_groups_full_164,mlp_pl,232,user,pl,0.0754,0.0379,0.0714,0.0338,0.0682,0.0323,0.0686,0.0332,0.0725,0.0358,0.0629,0.0303,0.0617,0.0287
support_groups_full_164,neumf_pl,42,user,pl,0.0611,0.0301,0.0613,0.0312,0.0581,0.0255,0.0616,0.0306,0.0591,0.0238,0.0587,0.0240,0.0600,0.0278
support_groups_full_164,neumf_pl,52,user,pl,0.0599,0.0283,0.0629,0.0320,0.0617,0.0322,0.0622,0.0317,0.0598,0.0285,0.0635,0.0301,0.0649,0.0271
support_groups_full_164,neumf_pl,62,user,pl,0.0611,0.0310,0.0604,0.0292,0.0657,0.0285,0.0666,0.0332,0.0621,0.0306,0.0635,0.0307,0.0614,0.0263
support_groups_full_164,neumf_pl,122,user,pl,0.0652,0.0328,0.0663,0.0313,0.0590,0.0305,0.0619,0.0293,0.0644,0.0298,0.0575,0.0264,0.0634,0.0226
support_groups_full_164,neumf_pl,232,user,pl,0.0670,0.0340,0.0660,0.0328,0.0625,0.0293,0.0636,0.0297,0.0627,0.0316,0.0610,0.0247,0.0610,0.0283
support_groups_full_164,mf_pl,mean,user,pl,0.0645,0.0330,0.0658,0.0339,0.0638,0.0321,0.0641,0.0319,0.0631,0.0305,0.0621,0.0308,0.0580,0.0281
support_groups_full_164,mf_pl,std,user,pl,0.0037,0.0019,0.0060,0.0033,0.0022,0.0012,0.0039,0.0031,0.0027,0.0020,0.0034,0.0027,0.0045,0.0025
support_groups_full_164,mlp_pl,mean,user,pl,0.0699,0.0351,0.0664,0.0322,0.0672,0.0324,0.0663,0.0317,0.0663,0.0326,0.0646,0.0300,0.0645,0.0311
support_groups_full_164,mlp_pl,std,user,pl,0.0042,0.0023,0.0032,0.0025,0.0035,0.0028,0.0027,0.0019,0.0042,0.0024,0.0033,0.0016,0.0020,0.0017
support_groups_full_164,neumf_pl,mean,user,pl,0.0629,0.0312,0.0634,0.0313,0.0614,0.0292,0.0632,0.0309,0.0616,0.0288,0.0608,0.0272,0.0622,0.0264
support_groups_full_164,neumf_pl,std,user,pl,0.0030,0.0022,0.0027,0.0013,0.0030,0.0025,0.0020,0.0016,0.0022,0.0030,0.0027,0.0030,0.0020,0.0022
