dataset,model,seed,val_hr,val_ndcg,val_auc,test_hr,test_ndcg,test_auc,epochs,val_epoch
support_groups_full_164,mf_baseline,42,0.0455,0.0286,0.4475,0.0571,0.0395,0.5094,20.0000,3.0000
support_groups_full_164,mf_baseline,52,0.0455,0.0286,0.4334,0.0571,0.0490,0.5518,20.0000,1.0000
support_groups_full_164,mf_baseline,62,0.0303,0.0210,0.4796,0.0429,0.0188,0.5350,20.0000,1.0000
support_groups_full_164,mf_baseline,122,0.0606,0.0287,0.5341,0.0571,0.0234,0.5074,20.0000,7.0000
support_groups_full_164,mf_baseline,232,0.0303,0.0210,0.4924,0.0143,0.0143,0.4930,20.0000,4.0000
support_groups_full_164,mf_pl,42,0.0606,0.0280,0.5095,0.0000,0.0000,0.4592,20.0000,1.0000
support_groups_full_164,mf_pl,52,0.0303,0.0247,0.4827,0.0143,0.0143,0.4967,20.0000,1.0000
support_groups_full_164,mf_pl,62,0.0152,0.0096,0.5376,0.0286,0.0233,0.4566,20.0000,1.0000
support_groups_full_164,mf_pl,122,0.0606,0.0292,0.4621,0.0429,0.0341,0.5366,20.0000,2.0000
support_groups_full_164,mf_pl,232,0.0303,0.0217,0.4683,0.0429,0.0357,0.5102,20.0000,1.0000
support_groups_full_164,mlp_baseline,42,0.0152,0.0059,0.3933,0.0143,0.0055,0.3696,20.0000,1.0000
support_groups_full_164,mlp_baseline,52,0.0303,0.0117,0.3630,0.0000,0.0000,0.3609,20.0000,2.0000
support_groups_full_164,mlp_baseline,62,0.0000,0.0000,0.1606,0.0000,0.0000,0.1324,20.0000,20.0000
support_groups_full_164,mlp_baseline,122,0.0455,0.0323,0.4542,0.0143,0.0062,0.4080,20.0000,1.0000
support_groups_full_164,mlp_baseline,232,0.0000,0.0000,0.1665,0.0000,0.0000,0.1381,20.0000,20.0000
support_groups_full_164,mlp_pl,42,0.0000,0.0000,0.1647,0.0000,0.0000,0.1361,20.0000,20.0000
support_groups_full_164,mlp_pl,52,0.0303,0.0124,0.4804,0.0143,0.0055,0.4062,20.0000,1.0000
support_groups_full_164,mlp_pl,62,0.0152,0.0076,0.4242,0.0143,0.0055,0.3541,20.0000,1.0000
support_groups_full_164,mlp_pl,122,0.0152,0.0059,0.4333,0.0429,0.0252,0.4585,20.0000,1.0000
support_groups_full_164,mlp_pl,232,0.0000,0.0000,0.1450,0.0000,0.0000,0.1528,20.0000,20.0000
support_groups_full_164,neumf_baseline,42,0.0303,0.0154,0.4201,0.0286,0.0286,0.4067,20.0000,1.0000
support_groups_full_164,neumf_baseline,52,0.0152,0.0096,0.4301,0.0286,0.0133,0.4754,20.0000,1.0000
support_groups_full_164,neumf_baseline,62,0.0455,0.0323,0.4596,0.0429,0.0330,0.4672,20.0000,1.0000
support_groups_full_164,neumf_baseline,122,0.0455,0.0286,0.5211,0.0286,0.0198,0.4608,20.0000,1.0000
support_groups_full_164,neumf_baseline,232,0.1061,0.0744,0.5106,0.0429,0.0270,0.4816,20.0000,1.0000
support_groups_full_164,neumf_pl,42,0.0152,0.0096,0.4960,0.0571,0.0366,0.4901,20.0000,1.0000
support_groups_full_164,neumf_pl,52,0.1061,0.0593,0.5753,0.0571,0.0360,0.5073,20.0000,1.0000
support_groups_full_164,neumf_pl,62,0.0909,0.0462,0.4854,0.0714,0.0376,0.5672,20.0000,6.0000
support_groups_full_164,neumf_pl,122,0.0303,0.0187,0.5267,0.0571,0.0447,0.5315,20.0000,1.0000
support_groups_full_164,neumf_pl,232,0.0455,0.0193,0.5017,0.0714,0.0399,0.4993,20.0000,1.0000
support_groups_full_164,mf_baseline,median,0.0455,0.0286,0.4796,0.0571,0.0234,0.5094,20.0000,3.0000
support_groups_full_164,mf_baseline,mean,0.0424,0.0256,0.4774,0.0457,0.0290,0.5193,20.0000,3.2000
support_groups_full_164,mf_baseline,std,0.0127,0.0042,0.0396,0.0186,0.0147,0.0236,0.0000,2.4900
support_groups_full_164,mf_pl,median,0.0303,0.0247,0.4827,0.0286,0.0233,0.4967,20.0000,1.0000
support_groups_full_164,mf_pl,mean,0.0394,0.0226,0.4920,0.0257,0.0215,0.4919,20.0000,1.2000
support_groups_full_164,mf_pl,std,0.0203,0.0079,0.0314,0.0186,0.0148,0.0342,0.0000,0.4472
support_groups_full_164,mlp_baseline,median,0.0152,0.0059,0.3630,0.0000,0.0000,0.3609,20.0000,2.0000
support_groups_full_164,mlp_baseline,mean,0.0182,0.0100,0.3075,0.0057,0.0023,0.2818,20.0000,8.8000
support_groups_full_164,mlp_baseline,std,0.0198,0.0134,0.1355,0.0078,0.0032,0.1350,0.0000,10.2323
support_groups_full_164,mlp_pl,median,0.0152,0.0059,0.4242,0.0143,0.0055,0.3541,20.0000,1.0000
support_groups_full_164,mlp_pl,mean,0.0121,0.0052,0.3295,0.0143,0.0072,0.3016,20.0000,8.6000
support_groups_full_164,mlp_pl,std,0.0127,0.0053,0.1610,0.0175,0.0104,0.1482,0.0000,10.4067
support_groups_full_164,neumf_baseline,median,0.0455,0.0286,0.4596,0.0286,0.0270,0.4672,20.0000,1.0000
support_groups_full_164,neumf_baseline,mean,0.0485,0.0321,0.4683,0.0343,0.0243,0.4583,20.0000,1.0000
support_groups_full_164,neumf_baseline,std,0.0346,0.0254,0.0459,0.0078,0.0078,0.0299,0.0000,0.0000
support_groups_full_164,neumf_pl,median,0.0455,0.0193,0.5017,0.0571,0.0376,0.5073,20.0000,1.0000
support_groups_full_164,neumf_pl,mean,0.0576,0.0306,0.5170,0.0629,0.0390,0.5191,20.0000,2.0000
support_groups_full_164,neumf_pl,std,0.0392,0.0211,0.0359,0.0078,0.0035,0.0310,0.0000,2.2361
