dataset,model,seed,entity,repr,cosine_k3,euclidean_k3,cosine_k4,euclidean_k4,cosine_k5,euclidean_k5,cosine_k6,euclidean_k6,cosine_k7,euclidean_k7,cosine_k8,euclidean_k8,cosine_k10,euclidean_k10
support_groups_full_164_loo,mf_baseline,42,item,main,0.0320,0.0146,0.0320,0.0158,0.0304,0.0119,0.0295,0.0132,0.0303,0.0117,0.0319,0.0117,0.0314,0.0120
support_groups_full_164_loo,mf_baseline,52,item,main,0.0302,0.0152,0.0307,0.0145,0.0289,0.0145,0.0302,0.0150,0.0292,0.0133,0.0285,0.0131,0.0308,0.0151
support_groups_full_164_loo,mf_baseline,62,item,main,0.0301,0.0151,0.0301,0.0149,0.0303,0.0140,0.0293,0.0122,0.0303,0.0115,0.0305,0.0125,0.0321,0.0138
support_groups_full_164_loo,mf_baseline,122,item,main,0.0289,0.0144,0.0315,0.0157,0.0299,0.0146,0.0278,0.0135,0.0301,0.0142,0.0311,0.0151,0.0279,0.0118
support_groups_full_164_loo,mf_baseline,232,item,main,0.0328,0.0154,0.0322,0.0096,0.0309,0.0143,0.0305,0.0110,0.0280,0.0022,0.0289,0.0095,0.0298,0.0109
support_groups_full_164_loo,mf_pl,42,item,main,0.0213,0.0105,0.0200,0.0096,0.0213,0.0101,0.0197,0.0091,0.0204,0.0090,0.0212,0.0091,0.0201,0.0082
support_groups_full_164_loo,mf_pl,52,item,main,0.0244,0.0122,0.0221,0.0110,0.0208,0.0101,0.0216,0.0105,0.0205,0.0087,0.0210,0.0102,0.0202,0.0084
support_groups_full_164_loo,mf_pl,62,item,main,0.0203,0.0102,0.0200,0.0098,0.0214,0.0104,0.0204,0.0087,0.0207,0.0096,0.0197,0.0088,0.0186,0.0077
support_groups_full_164_loo,mf_pl,122,item,main,0.0220,0.0108,0.0210,0.0098,0.0201,0.0096,0.0207,0.0103,0.0202,0.0087,0.0200,0.0093,0.0206,0.0088
support_groups_full_164_loo,mf_pl,232,item,main,0.0221,0.0109,0.0216,0.0099,0.0223,0.0107,0.0209,0.0100,0.0216,0.0098,0.0195,0.0080,0.0217,0.0086
support_groups_full_164_loo,mlp_baseline,42,item,main,0.0543,0.0276,0.0548,0.0271,0.0546,0.0278,0.0539,0.0265,0.0568,0.0283,0.0563,0.0257,0.0573,0.0274
support_groups_full_164_loo,mlp_baseline,52,item,main,0.0560,0.0284,0.0543,0.0272,0.0551,0.0268,0.0554,0.0263,0.0542,0.0236,0.0569,0.0273,0.0596,0.0283
support_groups_full_164_loo,mlp_baseline,62,item,main,0.0550,0.0275,0.0543,0.0284,0.0524,0.0257,0.0530,0.0248,0.0534,0.0256,0.0524,0.0245,0.0587,0.0276
support_groups_full_164_loo,mlp_baseline,122,item,main,0.0553,0.0278,0.0523,0.0233,0.0532,0.0252,0.0538,0.0258,0.0551,0.0255,0.0543,0.0262,0.0557,0.0278
support_groups_full_164_loo,mlp_baseline,232,item,main,0.0564,0.0284,0.0541,0.0264,0.0521,0.0255,0.0548,0.0275,0.0547,0.0261,0.0571,0.0286,0.0544,0.0264
support_groups_full_164_loo,mlp_pl,42,item,main,0.0532,0.0270,0.0548,0.0275,0.0560,0.0277,0.0545,0.0269,0.0576,0.0286,0.0586,0.0270,0.0560,0.0262
support_groups_full_164_loo,mlp_pl,52,item,main,0.0545,0.0276,0.0520,0.0258,0.0507,0.0244,0.0540,0.0274,0.0514,0.0255,0.0526,0.0266,0.0542,0.0245
support_groups_full_164_loo,mlp_pl,62,item,main,0.0556,0.0278,0.0556,0.0279,0.0530,0.0225,0.0533,0.0242,0.0573,0.0280,0.0533,0.0245,0.0584,0.0242
support_groups_full_164_loo,mlp_pl,122,item,main,0.0568,0.0287,0.0560,0.0285,0.0556,0.0272,0.0556,0.0278,0.0532,0.0259,0.0530,0.0253,0.0537,0.0270
support_groups_full_164_loo,mlp_pl,232,item,main,0.0542,0.0269,0.0539,0.0265,0.0533,0.0270,0.0528,0.0246,0.0564,0.0277,0.0546,0.0256,0.0549,0.0238
support_groups_full_164_loo,neumf_baseline,42,item,main,0.0233,0.0112,0.0222,0.0113,0.0208,0.0087,0.0213,0.0074,0.0212,0.0092,0.0204,0.0097,0.0207,0.0087
support_groups_full_164_loo,neumf_baseline,52,item,main,0.0218,0.0109,0.0217,0.0107,0.0212,0.0102,0.0208,0.0102,0.0202,0.0084,0.0195,0.0097,0.0190,0.0085
support_groups_full_164_loo,neumf_baseline,62,item,main,0.0222,0.0109,0.0214,0.0103,0.0213,0.0107,0.0211,0.0099,0.0211,0.0103,0.0210,0.0098,0.0216,0.0088
support_groups_full_164_loo,neumf_baseline,122,item,main,0.0212,0.0103,0.0212,0.0105,0.0202,0.0096,0.0201,0.0079,0.0202,0.0085,0.0208,0.0085,0.0200,0.0087
support_groups_full_164_loo,neumf_baseline,232,item,main,0.0223,0.0112,0.0214,0.0105,0.0221,0.0091,0.0209,0.0100,0.0209,0.0073,0.0212,0.0098,0.0200,0.0096
support_groups_full_164_loo,neumf_pl,42,item,main,0.0223,0.0110,0.0209,0.0103,0.0190,0.0096,0.0203,0.0083,0.0204,0.0097,0.0199,0.0086,0.0206,0.0101
support_groups_full_164_loo,neumf_pl,52,item,main,0.0218,0.0110,0.0204,0.0101,0.0209,0.0101,0.0214,0.0094,0.0205,0.0099,0.0215,0.0091,0.0188,0.0081
support_groups_full_164_loo,neumf_pl,62,item,main,0.0211,0.0095,0.0213,0.0103,0.0202,0.0094,0.0204,0.0102,0.0194,0.0094,0.0207,0.0091,0.0188,0.0070
support_groups_full_164_loo,neumf_pl,122,item,main,0.0223,0.0108,0.0216,0.0108,0.0212,0.0101,0.0200,0.0091,0.0206,0.0090,0.0199,0.0099,0.0202,0.0073
support_groups_full_164_loo,neumf_pl,232,item,main,0.0221,0.0107,0.0205,0.0104,0.0199,0.0094,0.0206,0.0102,0.0210,0.0081,0.0195,0.0097,0.0206,0.0082
support_groups_full_164_loo,mf_baseline,mean,item,main,0.0308,0.0149,0.0313,0.0141,0.0301,0.0139,0.0295,0.0130,0.0296,0.0106,0.0302,0.0124,0.0304,0.0127
support_groups_full_164_loo,mf_baseline,std,item,main,0.0016,0.0004,0.0009,0.0026,0.0007,0.0011,0.0010,0.0015,0.0010,0.0048,0.0015,0.0020,0.0016,0.0017
support_groups_full_164_loo,mf_pl,mean,item,main,0.0220,0.0109,0.0209,0.0100,0.0212,0.0102,0.0207,0.0097,0.0207,0.0092,0.0203,0.0091,0.0202,0.0083
support_groups_full_164_loo,mf_pl,std,item,main,0.0015,0.0008,0.0009,0.0006,0.0008,0.0004,0.0007,0.0008,0.0005,0.0005,0.0008,0.0008,0.0011,0.0004
support_groups_full_164_loo,mlp_baseline,mean,item,main,0.0554,0.0280,0.0540,0.0265,0.0535,0.0262,0.0542,0.0262,0.0548,0.0258,0.0554,0.0264,0.0571,0.0275
support_groups_full_164_loo,mlp_baseline,std,item,main,0.0008,0.0004,0.0010,0.0019,0.0013,0.0011,0.0010,0.0010,0.0013,0.0017,0.0020,0.0015,0.0021,0.0007
support_groups_full_164_loo,mlp_pl,mean,item,main,0.0548,0.0276,0.0545,0.0272,0.0537,0.0257,0.0540,0.0262,0.0552,0.0271,0.0544,0.0258,0.0555,0.0252
support_groups_full_164_loo,mlp_pl,std,item,main,0.0014,0.0007,0.0016,0.0011,0.0021,0.0022,0.0011,0.0017,0.0028,0.0013,0.0025,0.0010,0.0019,0.0014
support_groups_full_164_loo,neumf_baseline,mean,item,main,0.0222,0.0109,0.0216,0.0107,0.0211,0.0097,0.0208,0.0091,0.0207,0.0087,0.0206,0.0095,0.0202,0.0089
support_groups_full_164_loo,neumf_baseline,std,item,main,0.0008,0.0004,0.0004,0.0004,0.0007,0.0008,0.0005,0.0013,0.0005,0.0011,0.0007,0.0006,0.0010,0.0005
support_groups_full_164_loo,neumf_pl,mean,item,main,0.0219,0.0106,0.0209,0.0104,0.0202,0.0097,0.0205,0.0094,0.0204,0.0092,0.0203,0.0093,0.0198,0.0081
support_groups_full_164_loo,neumf_pl,std,item,main,0.0005,0.0006,0.0005,0.0003,0.0009,0.0004,0.0005,0.0008,0.0006,0.0007,0.0008,0.0005,0.0009,0.0012
