dataset,model,seed,entity,repr,cosine_k3,euclidean_k3,cosine_k4,euclidean_k4,cosine_k5,euclidean_k5,cosine_k6,euclidean_k6,cosine_k7,euclidean_k7,cosine_k8,euclidean_k8,cosine_k10,euclidean_k10
support_groups_full_164_loo,mf_pl,42,item,pl,0.0536,0.0278,0.0532,0.0270,0.0515,0.0259,0.0536,0.0276,0.0573,0.0292,0.0557,0.0274,0.0558,0.0280
support_groups_full_164_loo,mf_pl,52,item,pl,0.0520,0.0265,0.0522,0.0268,0.0528,0.0269,0.0517,0.0257,0.0535,0.0274,0.0555,0.0284,0.0542,0.0281
support_groups_full_164_loo,mf_pl,62,item,pl,0.0542,0.0273,0.0563,0.0284,0.0538,0.0273,0.0559,0.0278,0.0541,0.0277,0.0576,0.0286,0.0571,0.0275
support_groups_full_164_loo,mf_pl,122,item,pl,0.0529,0.0269,0.0540,0.0271,0.0516,0.0259,0.0531,0.0271,0.0562,0.0284,0.0571,0.0284,0.0535,0.0267
support_groups_full_164_loo,mf_pl,232,item,pl,0.0521,0.0272,0.0543,0.0268,0.0535,0.0268,0.0570,0.0297,0.0573,0.0293,0.0585,0.0296,0.0571,0.0291
support_groups_full_164_loo,mlp_pl,42,item,pl,0.0563,0.0286,0.0566,0.0281,0.0541,0.0267,0.0573,0.0284,0.0564,0.0273,0.0559,0.0249,0.0539,0.0240
support_groups_full_164_loo,mlp_pl,52,item,pl,0.0550,0.0278,0.0575,0.0291,0.0532,0.0250,0.0559,0.0277,0.0549,0.0260,0.0554,0.0268,0.0565,0.0263
support_groups_full_164_loo,mlp_pl,62,item,pl,0.0539,0.0277,0.0535,0.0267,0.0529,0.0261,0.0530,0.0263,0.0538,0.0265,0.0546,0.0272,0.0568,0.0269
support_groups_full_164_loo,mlp_pl,122,item,pl,0.0522,0.0260,0.0536,0.0264,0.0509,0.0244,0.0533,0.0262,0.0530,0.0264,0.0542,0.0266,0.0540,0.0253
support_groups_full_164_loo,mlp_pl,232,item,pl,0.0534,0.0268,0.0523,0.0260,0.0537,0.0270,0.0521,0.0259,0.0547,0.0265,0.0564,0.0272,0.0579,0.0273
support_groups_full_164_loo,neumf_pl,42,item,pl,0.0556,0.0276,0.0546,0.0269,0.0546,0.0278,0.0543,0.0272,0.0556,0.0276,0.0571,0.0289,0.0565,0.0253
support_groups_full_164_loo,neumf_pl,52,item,pl,0.0511,0.0262,0.0502,0.0255,0.0503,0.0250,0.0530,0.0251,0.0527,0.0252,0.0548,0.0269,0.0549,0.0253
support_groups_full_164_loo,neumf_pl,62,item,pl,0.0531,0.0261,0.0562,0.0285,0.0541,0.0260,0.0525,0.0242,0.0561,0.0270,0.0550,0.0249,0.0585,0.0283
support_groups_full_164_loo,neumf_pl,122,item,pl,0.0515,0.0260,0.0528,0.0252,0.0509,0.0240,0.0527,0.0259,0.0530,0.0233,0.0545,0.0255,0.0585,0.0267
support_groups_full_164_loo,neumf_pl,232,item,pl,0.0526,0.0264,0.0508,0.0247,0.0532,0.0255,0.0506,0.0254,0.0531,0.0255,0.0537,0.0258,0.0563,0.0268
support_groups_full_164_loo,mf_pl,mean,item,pl,0.0530,0.0271,0.0540,0.0272,0.0526,0.0266,0.0543,0.0276,0.0557,0.0284,0.0569,0.0285,0.0556,0.0279
support_groups_full_164_loo,mf_pl,std,item,pl,0.0010,0.0005,0.0015,0.0007,0.0010,0.0006,0.0022,0.0014,0.0018,0.0008,0.0013,0.0008,0.0017,0.0009
support_groups_full_164_loo,mlp_pl,mean,item,pl,0.0542,0.0274,0.0547,0.0272,0.0529,0.0259,0.0543,0.0269,0.0545,0.0265,0.0553,0.0265,0.0558,0.0260
support_groups_full_164_loo,mlp_pl,std,item,pl,0.0016,0.0010,0.0022,0.0013,0.0012,0.0011,0.0022,0.0011,0.0013,0.0005,0.0009,0.0010,0.0018,0.0013
support_groups_full_164_loo,neumf_pl,mean,item,pl,0.0528,0.0265,0.0529,0.0261,0.0526,0.0256,0.0526,0.0256,0.0541,0.0257,0.0550,0.0264,0.0569,0.0265
support_groups_full_164_loo,neumf_pl,std,item,pl,0.0018,0.0007,0.0025,0.0015,0.0019,0.0014,0.0013,0.0011,0.0017,0.0017,0.0013,0.0016,0.0016,0.0013
